Feature_ID,VIP_comp_1,Loading,mz,RT,Corr_ID,Compound_Name
3793,4.327118625,-0.050586225,162.0551078,2.8348877,55,Spectral Match to Indole-2-carboxylic acid from NIST14
3798,3.984403054,0.046579705,493.2815052,2.8487637,76,NA
1710,3.849051791,0.04499738,270.1926443,1.5897073,31,NA
683,3.758205278,0.043935338,241.1546533,0.71513647,388,"N,N-dimethyl-proline-proline betaine"
340,3.704820585,0.043311244,229.1547598,0.54266185,388,229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378
1744,3.661324813,0.042802756,281.1497208,1.40348,84,NA
7100,3.657332755,-0.042756087,293.247392,5.075865,NA,"Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14"
490,3.61845809,0.042301622,229.1547582,0.6029691,388,NA
629,3.608785248,0.042188541,229.1547508,0.6826961,388,229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378
2665,3.593428875,0.042009018,346.1157083,2.2129767,433,NA
529,3.554805206,0.041557487,241.1546356,0.6293957,388,"N,N-dimethyl-proline-proline betaine"
7280,3.537375686,0.041353727,513.31964,5.2099075,141,NA
3524,3.523992675,0.041197273,365.1557428,2.6797512,509,NA
7284,3.480288868,-0.040686353,499.3376698,5.1516476,451,NA
1531,3.474917894,0.040623564,281.1497173,1.3644464,84,NA
7258,3.471849093,-0.040587688,293.2473565,5.238387,2,Spectral Match to 13(S)-HODE methyl ester from NIST14
331,3.446630195,0.040292866,280.1392261,0.53150845,205,NA
6391,3.412275829,0.039891246,410.2902092,4.6328516,355,NA
316,3.397173024,0.039714687,241.1546263,0.57513356,388,NA
3537,3.387625714,-0.039603074,330.1198469,2.6803606,509,NA
6054,3.372599144,0.039427405,394.2259299,4.3330784,256,NA
6871,3.348285288,0.039143164,391.21508,4.928891,169,NA
1859,3.337636046,0.039018669,307.1652961,1.6434671,31,NA
4228,3.325056969,-0.038871613,235.107843,3.1163783,NA,NA
2166,3.297750799,0.03855239,183.1014646,1.9352239,NA,NA
1272,3.296000142,0.038531924,229.154825,1.1683152,175,Spectral Match to Pro-Leu from NIST14
1539,3.294132302,0.038510088,282.1540116,1.3722527,84,NA
1245,3.288038741,-0.038438851,260.1063002,1.138259,NA,NA
5087,3.268395379,-0.03820921,593.3331732,3.665219,256,NA
2836,3.243345184,-0.037916361,355.1139667,2.2934601,239,NA
2828,3.228961013,0.037748202,161.1074934,2.2858732,NA,tryptamine CollisionEnergy:205060
4120,3.223313681,0.037682182,179.106844,3.048755,360,NA
427,3.204690733,-0.03746447,154.0976008,0.5402844,458,Candidate Histamine-C2:0 (delta mass:42.0104)
5845,3.187451914,0.03726294,410.2210551,4.206835,256,NA
3207,3.175767452,-0.037126342,449.2323285,2.4597945,NA,NA
7201,3.17216033,0.037084173,517.3500878,5.152151,NA,NA
715,3.166404876,0.037016889,254.16094,0.7463706,388,NA
1426,3.153877293,0.036870435,210.0799314,1.2792245,329,Candidate Taurine-C5:0 (delta mass:84.0581)
1069,3.147216913,0.036792572,200.0354191,1.0362188,NA,NA
5108,3.12159285,-0.036493014,595.3447614,3.6787577,256,Stercobilin
542,3.113507048,0.036398487,242.1583082,0.720459,388,NA
5165,3.108820547,0.036343699,494.2261429,3.7285419,NA,NA
6055,3.102979536,0.036275415,399.1811503,4.3392954,256,NA
380,3.088100428,0.03610147,294.1547851,0.6462758,205,Massbank:PR310824 N-Fructosyl isoleucine
6508,3.053437655,0.035696245,344.2795821,4.7054067,1,LAUROYLCARNITINE
325,3.053298564,-0.035694619,130.0864829,0.43301252,378,L-PIPECOLIC ACID - 50.0 eV
528,3.051975595,0.035679152,235.1188847,0.59426516,388,Spectral Match to His-Pro from NIST14
3997,3.045455666,0.035602931,885.5056428,2.967194,124,NA
3522,3.02406237,0.035352833,291.1456873,2.6758,NA,NA
6572,3.017634558,-0.035277688,279.2319472,4.6980996,NA,Spectral Match to 9(10)-EpOME from NIST14
5409,2.99274489,0.034986715,401.3376586,3.8954,477,NA
436,2.981373,-0.034853772,146.1177,0.51952124,18,NA
4184,2.978313007,0.034817999,502.2901533,3.0387409,100,NA
954,2.9723594,0.034748398,181.097346,0.8890234,175,NA
111,2.967916761,0.034696462,251.1602514,0.3850998,498,NA
5257,2.964577622,0.034657426,400.269263,3.9350917,256,NA
6365,2.959797589,-0.034601544,279.2319357,4.610948,504,Spectral Match to 9(10)-EpOME from NIST14
4175,2.958246819,-0.034583415,146.0602308,3.044826,NA,2-Hydroxyquinoline CollisionEnergy:205060
1718,2.95265295,0.03451802,235.1096071,1.600515,NA,NA
6864,2.943375232,0.034409559,408.2418321,4.9078026,169,NA
1804,2.93788752,0.034345405,192.1021293,1.6441698,NA,NA
3792,2.931261243,-0.03426794,258.2064478,2.8407028,372,NA
6809,2.92803176,0.034230186,370.2952901,4.915829,80,NA
2531,2.911450642,0.034036344,265.1548505,2.2879076,214,Spectral Match to Phe-Val from NIST14
7591,2.909844508,0.034017567,495.3083696,5.558492,176,NA
3914,2.898816644,0.033888646,634.3340165,2.911372,100,NA
737,2.895073548,0.033844887,256.1767938,0.7651964,388,NA
891,2.881427483,0.033685358,328.139104,0.8988487,175,Massbank:PR310826 N-Fructosyl phenylalanine
653,2.871128616,0.033564959,210.0760084,0.66235733,NA,NA
3960,2.869352391,0.033544194,262.1651786,2.9963892,NA,NA
6539,2.857605934,0.033406872,368.2796284,4.690112,1,NA
3973,2.856254422,0.033391072,454.2340449,2.958629,42,NA
3795,2.855976699,0.033387825,985.5546126,2.8474607,76,NA
6041,2.849456445,0.0333116,414.3211242,4.3495197,256,NA
1199,2.848356069,0.033298736,227.102629,1.1153564,175,Spectral Match to PyroGlu-Pro from NIST14
3943,2.84793865,0.033293856,738.3688685,2.9440515,124,NA
3992,2.844220705,0.033250392,335.1716244,2.9709077,42,NA
7239,2.841393034,-0.033217335,615.3642781,5.2187133,2,NA
288,2.84137554,-0.03321713,217.0683902,0.4700096,323,NA
1328,2.840995153,0.033212683,160.0758644,1.1661761,54,NA
1054,2.838820545,-0.033187261,362.1579203,0.9878597,502,NA
1239,2.833065414,0.033119981,182.0792696,1.138546,175,NA
320,2.824445767,-0.033019213,154.0975999,0.5036492,458,Candidate Histamine-C2:0 (delta mass:42.0104)
208,2.821331998,0.032982811,319.1622973,0.44804606,264,NA
3467,2.810464825,-0.032855768,239.1390936,2.6523764,509,NA
3929,2.802196299,0.032759105,444.2760938,2.9195368,100,NA
858,2.797756025,0.032707196,253.1547323,0.87526345,NA,NA
1061,2.795144051,0.032676661,238.1075709,1.0028598,NA,NA
2495,2.781544109,-0.03251767,343.187413,2.1380763,NA,NA
6179,2.766795303,0.032345249,430.3165457,4.4599686,409,"""Candidate Dihydroxylated bile acid (delta mass 37.0162; sirius atomic difference: -1C, 3H, 1N, 2O; buddy atomic difference: -1C, 3H, 1N, 2O)"""
993,2.763980035,0.032312337,395.203013,1.0083699,71,NA
1391,2.761443273,0.032282681,196.1447797,1.2675643,329,NA
309,2.758780087,-0.032251547,190.1439044,0.4804633,NA,NA
5589,2.757462745,-0.032236147,229.1435188,4.053288,445,Traumatic Acid - 40.0 eV
6255,2.750509205,0.032154856,342.2639338,4.5002184,383,NA
6211,2.74764225,-0.03212134,313.2373127,4.507488,495,NA
6311,2.747484031,-0.032119491,277.2163947,4.504528,495,NA
5769,2.747387305,0.03211836,359.3267965,4.160777,256,NA
1204,2.745453651,0.032095754,146.1177559,1.1254779,NA,NA
521,2.743983964,0.032078573,215.1391249,0.68015105,205,Spectral Match to Pro-Val from NIST14
1587,2.741733599,0.032052265,223.1442196,1.2921064,NA,NA
3656,2.728896775,0.031902196,620.3184153,2.7538555,292,NA
5879,2.728560612,0.031898266,392.2101019,4.2440534,256,NA
4114,2.703147305,0.031601172,373.2569084,3.0353928,360,NA
1009,2.699957183,-0.031563878,373.1600663,0.9692508,280,NA
119,2.696985514,0.031529137,274.1397555,0.40435877,513,NA
6511,2.69463524,0.031501661,319.1903854,4.708046,62,NA
4720,2.691493975,0.031464938,484.2797013,3.4266756,233,NA
5396,2.689842547,0.031445632,432.2417256,3.9472988,NA,NA
7943,2.685291915,0.031392433,502.3588527,5.8832936,79,NA
6673,2.67507602,-0.031273004,295.2267094,4.8215632,147,NA
572,2.671487999,0.031231058,166.0724485,0.6182458,388,NA
3459,2.665373863,0.031159581,441.2239307,2.6614614,75,NA
4717,2.661988788,0.031120008,416.2263851,3.4183352,83,NA
1224,2.658552715,-0.031079838,419.1772087,1.1329532,175,NA
1159,2.648167313,0.030958428,328.1390795,0.96485656,175,NA
7328,2.644899489,0.030920225,398.3267788,5.279836,298,NA
7950,2.644036579,0.030910137,501.3553858,5.8893476,79,NA
5664,2.641374119,0.030879012,402.2842917,4.027996,256,NA
3815,2.641308945,0.03087825,347.1676632,2.8599665,242,NA
2650,2.639666246,-0.030859046,298.116208,2.2049382,NA,NA
1785,2.632292597,-0.030772844,315.182192,1.5849146,31,NA
7136,2.631652492,-0.030765361,598.3376365,5.1545925,2,NA
7730,2.631321265,-0.030761489,481.3288008,5.661551,195,NA
1903,2.627161065,-0.030712854,286.1396526,1.7670523,82,NA
3144,2.624432938,0.030680961,309.1808217,2.3983707,NA,NA
6060,2.62208094,0.030653464,359.1883643,4.357466,256,NA
445,2.618372579,-0.030610112,176.1283195,0.55640364,253,NA
3913,2.617553753,0.030600539,565.1554573,2.9103873,42,Corymboside
4129,2.61555412,0.030577163,243.1229402,3.048581,360,NA
1310,2.612638991,0.030543083,395.2032588,1.1979848,175,NA
4365,2.612567693,0.03054225,556.3277772,3.2086575,NA,NA
